,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,54.71021709442139,1.7818248872621314,1.1001811981201173,0.39701745268716615,1.0,85,"{'model__learning_rate': 1.0, 'model__n_estimators': 85}",0.8572247706422018,0.8572043010752688,0.865663082437276,0.8681003584229391,0.8705376344086021,0.8637460293972575,0.005551255667709026,3,0.8717889908256881,0.875753361149745,0.8767123287671232,0.8865066418084363,0.8876744186046511,0.8796871482311287,0.00627705508525921,6
1,55.21653761863708,1.724800079898764,1.3033164024353028,0.2518031028010927,1.0,90,"{'model__learning_rate': 1.0, 'model__n_estimators': 90}",0.8585149082568807,0.8574910394265233,0.8639426523297491,0.8672401433691757,0.8702508960573476,0.8634879278879353,0.004913598055714326,5,0.8732491389207807,0.8761595547309833,0.8755139333028781,0.8867087129175426,0.8879832324173265,0.8799229144579022,0.006150724469870354,4
2,55.57377805709839,2.5005951183897497,1.5184401035308839,0.6820826738285332,1.0,95,"{'model__learning_rate': 1.0, 'model__n_estimators': 95}",0.8586582568807339,0.8592114695340501,0.8655197132616488,0.868673835125448,0.8703942652329749,0.8644915080069712,0.00480202528144339,2,0.8731069297843047,0.8768518518518519,0.8765122118237845,0.8871531825600373,0.8883710090887905,0.8803990370217539,0.006164991180878156,2
3,56.73895554542541,2.6916692269565172,1.379036283493042,0.618366180326028,1.0,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100}",0.8596616972477065,0.8607885304659498,0.8658064516129033,0.8691039426523297,0.8693906810035842,0.8649502605964947,0.0040741225078014635,1,0.8739958687170071,0.8783877692842251,0.8763968072976055,0.8875932835820896,0.8872845831392641,0.8807316624040382,0.005651165113467434,1
4,53.492960691452026,1.2345495363693315,1.4439861297607421,0.13565055776241955,1.133,85,"{'model__learning_rate': 1.133, 'model__n_estimators': 85}",0.8557912844036697,0.8551971326164874,0.8633691756272401,0.8679569892473118,0.8691039426523297,0.8622837049094076,0.005869430562057444,8,0.8730378578024007,0.8734382230448866,0.8740318906605923,0.8868408772748484,0.8875932835820896,0.8789884264729635,0.006730316817504774,11
5,54.87080001831055,1.806632823416234,1.1225557327270508,0.4301377364754467,1.133,90,"{'model__learning_rate': 1.133, 'model__n_estimators': 90}",0.8583715596330275,0.8563440860215054,0.8637992831541219,0.8666666666666667,0.8682437275985663,0.8626850646147777,0.004621854752548774,7,0.8752886836027713,0.874537037037037,0.8746295874173695,0.8866027589431845,0.8881609733270941,0.8798438080654913,0.00617993089835952,5
6,53.817427253723146,2.6526668471082853,1.561980962753296,0.38601404096869746,1.133,95,"{'model__learning_rate': 1.133, 'model__n_estimators': 95}",0.8569380733944955,0.8574910394265233,0.8633691756272401,0.8673835125448028,0.8693906810035842,0.862914496399329,0.005044825527325405,6,0.8734439834024896,0.8744228993536473,0.8745437956204379,0.8867351704810836,0.8889148737137512,0.8796121445142819,0.006751902055425815,7
7,54.79927315711975,2.369885692582456,1.897811508178711,0.16803520644591718,1.133,100,"{'model__learning_rate': 1.133, 'model__n_estimators': 100}",0.8560779816513762,0.8587813620071685,0.8639426523297491,0.869247311827957,0.8696774193548387,0.863545345434218,0.005453983205896807,4,0.8736136783733827,0.8755483722004156,0.8746581586144029,0.8881625029185151,0.888422035480859,0.8800809495175151,0.006732930042517831,3
8,49.46135187149048,2.1808854765045376,1.6797965526580811,0.11508836881756872,1.267,85,"{'model__learning_rate': 1.267, 'model__n_estimators': 85}",0.8577981651376146,0.8521863799283154,0.8599283154121864,0.8678136200716846,0.8662365591397849,0.8607926079379172,0.005704595794241682,14,0.875,0.8693849343469247,0.8728270814272644,0.8873568590792241,0.8854409706019599,0.8780019690910746,0.0071119234909839115,16
9,53.00089244842529,2.511226198222058,1.3583247184753418,0.13508798931340787,1.267,90,"{'model__learning_rate': 1.267, 'model__n_estimators': 90}",0.859375,0.8531899641577061,0.8582078853046595,0.8679569892473118,0.8688172043010752,0.8615094086021505,0.005994065167848743,12,0.876705991209808,0.8706180811808119,0.8719651855245075,0.8870214752567693,0.8879028491359178,0.8788427164615629,0.0073278748843043865,14
10,54.382119464874265,2.307949719254357,1.8580545425415038,0.38619052818384153,1.267,95,"{'model__learning_rate': 1.267, 'model__n_estimators': 95}",0.8589449541284404,0.8540501792114695,0.8596415770609319,0.869247311827957,0.8669534050179212,0.861767485449344,0.00556569042488864,10,0.8762719703977798,0.8728578045391385,0.8719178082191781,0.8887070376432079,0.8859342197340798,0.8791377681066768,0.006892622634112928,10
11,52.87971510887146,3.1347731895713857,1.7201372623443603,0.3010893654168694,1.267,100,"{'model__learning_rate': 1.267, 'model__n_estimators': 100}",0.8576548165137615,0.8557706093189964,0.860931899641577,0.8695340501792115,0.8670967741935484,0.862197629969419,0.005317339511826414,9,0.8753180661577609,0.8732101616628175,0.8725199543899658,0.8878526463044999,0.8859608208955224,0.8789723298821132,0.00657097255895131,12
12,41.9403299331665,5.727772741408076,1.3199617385864257,0.3056868908253552,1.4,85,"{'model__learning_rate': 1.4, 'model__n_estimators': 85}",0.8556479357798165,0.8529032258064516,0.8597849462365591,0.8665232974910394,0.8653763440860215,0.8600471498799775,0.005306567353458842,16,0.8730085430616485,0.8714153561517114,0.871947044053869,0.8865762394761459,0.8881826741996234,0.8782259713885997,0.007508580088506422,15
13,36.82326521873474,2.356314898445254,1.0584571361541748,0.07745538585580969,1.4,90,"{'model__learning_rate': 1.4, 'model__n_estimators': 90}",0.8549311926605505,0.8539068100358423,0.8592114695340501,0.868673835125448,0.8662365591397849,0.8605919732991353,0.0059299152748171005,15,0.8714877936434823,0.8733472512178149,0.8718300205620287,0.8891492852120928,0.8885230479774224,0.8788674797225682,0.008165831779498933,13
14,36.54002523422241,1.676069393981015,1.1172470092773437,0.17257614904018345,1.4,95,"{'model__learning_rate': 1.4, 'model__n_estimators': 95}",0.8557912844036697,0.8546236559139785,0.8596415770609319,0.8696774193548387,0.8679569892473118,0.8615381851961461,0.00619488312187355,11,0.8730378578024007,0.8743613562470971,0.8719178082191781,0.8902439024390244,0.8884723523898782,0.8796066554195157,0.008019130173993584,8
15,36.941984462738034,1.7184329528789348,1.1553022384643554,0.14872035985751464,1.4,100,"{'model__learning_rate': 1.4, 'model__n_estimators': 100}",0.8550745412844036,0.8540501792114695,0.8593548387096774,0.869820788530466,0.8691039426523297,0.8614808580776693,0.00675931505422336,13,0.8723747980613893,0.8735498839907193,0.8711810305517556,0.8908194411833764,0.8890449438202247,0.8793940195214931,0.008655139257074326,9
